,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2004-01-31,24,1702,11,5,679,187,39,2067,78,16,1,16,293,329,0,40,2788,61,22,427,1894,3758,1,661,0,502,30,165,114,4,102,9,509,0,190,755,2164,1391,169,,
2005-01-31,21,1761,11,6,712,246,35,1865,109,24,3,15,272,296,1,32,2682,86,72,456,1926,3413,1,536,0,512,23,200,95,6,75,14,567,0,186,807,2328,1215,185,,
2006-01-31,23,1665,11,8,748,165,36,1608,107,17,6,12,237,292,7,30,2600,85,54,576,1935,3014,2,308,16,510,30,138,95,7,68,6,523,0,124,814,2234,1098,196,,
2007-01-31,20,1743,10,6,748,169,32,1928,110,26,5,22,267,320,2,30,2533,81,34,535,1818,2856,2,660,112,651,24,187,92,6,65,9,570,0,171,881,978,1092,200,,
2008-01-31,18,1750,5,8,546,212,38,1562,170,31,1,23,288,279,1,42,2540,156,51,529,1742,2848,0,716,113,622,13,206,82,5,56,18,577,0,194,865,865,1192,193,,
2009-01-31,18,1969,6,11,567,189,51,1675,157,24,7,20,257,286,5,54,2743,161,30,462,1755,3925,0,808,81,642,20,195,101,3,61,15,571,0,157,864,875,899,204,,
2010-01-31,12,1751,6,6,465,256,75,1492,104,21,5,22,278,281,10,72,2655,102,36,395,1566,3611,0,897,81,564,84,234,109,5,83,9,595,0,180,945,748,897,185,,
2011-01-31,20,1677,4,6,387,227,92,1347,110,19,2,22,133,268,1,43,2883,75,32,514,1851,3081,0,814,61,500,60,266,96,1,99,10,701,0,125,937,537,954,196,,
2012-01-31,26,1675,6,14,420,154,84,937,114,18,4,20,102,305,1,49,3358,48,13,503,2199,2705,0,578,70,564,86,241,122,6,121,14,746,0,106,887,713,931,199,,
2013-01-31,23,1906,2,13,628,107,71,849,103,17,6,35,120,339,3,42,3640,47,7,583,2265,2490,0,348,63,592,86,281,134,2,145,17,692,0,142,1045,845,958,232,,
2014-01-31,31,2047,1,14,627,139,78,1048,163,20,3,32,143,378,4,82,4321,39,3,624,2832,2786,0,470,71,722,47,321,110,7,170,14,685,0,140,971,807,1109,301,,
2015-01-31,42,1906,5,15,676,112,67,795,150,9,5,35,101,418,2,68,3138,24,11,810,2542,2960,0,127,0,555,48,257,170,1,171,11,694,1,204,701,1026,1099,287,,
