,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2003-03-31,0,125,1,0,77,17,3,76,3,4,1,0,37,52,0,2,391,2,9,26,187,172,0,14,0,44,0,8,4,0,7,0,39,0,15,75,191,85,12,1679,,
2003-04-30,1,106,3,0,79,18,5,61,6,6,1,1,26,49,0,1,393,1,5,23,112,151,0,54,0,27,0,9,8,0,8,0,35,0,9,66,202,68,9,1543,,
2003-05-31,1,120,3,0,73,20,4,61,3,2,1,0,33,37,0,1,409,3,2,26,150,190,0,54,0,31,1,13,5,0,9,1,44,0,16,81,162,86,5,1647,,
2003-06-30,3,150,2,0,62,6,2,60,5,0,0,0,25,33,1,5,447,5,1,23,134,155,0,25,0,37,2,13,13,0,9,2,41,0,12,86,169,87,5,1620,,
2003-07-31,4,132,2,0,58,33,4,78,5,3,0,1,33,40,0,2,465,3,1,33,128,214,0,36,0,39,0,11,7,0,20,0,41,0,16,81,169,109,5,1773,,
2003-08-31,2,144,4,0,74,16,2,48,3,1,0,1,23,37,0,2,405,1,2,25,131,184,0,40,0,37,2,14,3,0,4,1,34,0,12,77,160,85,6,1580,,
2003-09-30,1,128,1,0,73,20,4,45,3,2,0,1,24,36,0,3,319,0,1,28,132,173,0,61,0,30,5,11,5,0,8,0,39,0,16,63,135,108,11,1486,,
2003-10-31,1,142,3,0,86,9,4,78,3,1,0,0,30,43,1,6,354,2,1,32,117,194,0,45,0,31,1,18,6,0,11,1,32,0,9,73,143,105,10,1592,,
2003-11-30,2,104,1,0,81,13,6,49,10,1,0,0,21,37,0,4,358,1,0,21,142,196,0,71,0,36,1,8,8,0,10,2,48,0,18,57,150,71,15,1542,,
2003-12-31,1,110,1,1,74,7,6,55,3,2,0,1,30,47,0,1,318,1,0,20,115,170,0,55,0,36,0,11,7,0,4,0,46,0,8,70,145,74,10,1429,,
